tag,sada,grp,instance_cnt,temp,inner_iters,min_temp,cooling,max_cycles,meas_cycles,success_rate,restarts_needed,cycles_needed,worst_success,worst_restarts,worst_cycles,q0.05_success,q0.05_restarts,q0.05_cycles,dest_temp_q0.05,duration
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.0333,0.3,3402,2784,0.5188,5,13920,0.02,149,414816,0.04,74,206016,0.054,00:14:03.8258075
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.333,0.9,17015,11661,0.5004,5,58305,0.14,20,233220,0.16,18,209898,0.333544,00:39:12.5150953
wuf20-71\Q,wuf20-71,Q,20,0.1,500,0.01,0.95,22445,19758,0.91,2,39516,0.215,13,256854,0.215,13,256854,,
wuf20-71\Q,wuf20-71,Q,20,20,500,0.01,0.95,74093,51679,0.9705,1,51679,0.49,5,258395,0.49,5,258395,,
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.0333,0.9,38870,27616,0.9064,2,55232,0.24,11,303776,0.28,10,276160,0.0763041,01:05:28.6236708
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.3,4401,3745,0.5816,4,14980,0.02,149,558005,0.04,74,277130,0.0162,00:11:48.1868281
wuf20-71\Q,wuf20-71,Q,20,2,500,0.01,0.95,51647,39641,0.96575,1,39641,0.38,7,277487,0.38,7,277487,,
wuf20-71\R,wuf20-71,R,20,2,500,0.01,0.95,51647,40080,0.916,2,80160,0.375,7,280560,0.375,7,280560,,
wuf20-71\R,wuf20-71,R,20,0.2,500,0.01,0.95,29202,25192,0.8589,2,50384,0.075,39,982488,0.075,39,982488,,
wuf20-71\R,wuf20-71,R,50,2,1000,0.1,0.3,2488,1971,0.208,13,25623,0.02,149,293679,0.02,149,293679,0.18,00:12:44.5481062
wuf20-71\R,wuf20-71,R,20,20,500,0.01,0.95,74093,52119,0.9255,2,104238,0.425,6,312714,0.425,6,312714,,
wuf20-71\Q,wuf20-71,Q,20,200,500,0.01,0.95,96538,63050,0.9705,1,63050,0.515,5,315250,0.515,5,315250,,
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.7,14855,11305,0.8064,2,22610,0.08,36,406980,0.1,29,327845,0.0395465,00:15:15.3884133
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.1,2301,2241,0.432,6,13446,0.02,149,333909,0.02,149,333909,0.02,00:10:34.1107721
wuf20-71\R,wuf20-71,R,20,200,500,0.01,0.95,96538,63484,0.926,2,126968,0.445,6,380904,0.445,6,380904,,
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.95,103295,79658,0.958,1,79658,0.34,8,637264,0.5,5,398290,0.125344,01:56:47.2344005
wuf20-71\R,wuf20-71,R,50,2,1000,0.001,0.9,72142,60928,0.9692,1,60928,0.32,8,487424,0.66,3,182784,0.0763041,01:20:02.6455950
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.95,103295,79548,0.9872,1,79548,0.52,5,397740,0.9,2,159096,0.131941,01:57:04.0569552
wuf20-71\R,wuf20-71,R,20,0.05,500,0.01,0.95,15689,14896,0.773,3,44688,0.105,28,417088,0.105,28,417088,,
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.00333,0.9,60724,49005,0.926,2,98010,0.28,10,490050,0.28,10,490050,0.0686737,04:49:27.9205578
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.9,50288,39026,0.9148,2,78052,0.12,24,936624,0.22,13,507338,0.0686737,00:54:29.9826932
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.001,0.9,72142,60995,0.926,2,121990,0.16,18,1097910,0.26,10,609950,0.0686737,02:26:02.2426636
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.00333,0.3,5314,4740,0.5964,4,18960,0.02,149,706260,0.02,149,706260,0.0162,00:07:57.3927519
wuf20-71\R,wuf20-71,R,50,2,1000,0.01,0.99,527178,404241,0.9996,1,404241,0.98,1,404241,1,1,404241,0.569416,05:59:40.8176720
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.01,0.99,527178,404814,0.9952,1,404814,0.84,2,809628,0.96,1,404814,0.546978,06:03:02.4939462
wuf20-71\R,wuf20-71,R,50,2,1000,0.333,0.3,1489,1255,0.0584,50,62750,0,1000000,1255000000,0,1000000,1255000000,0.6,00:09:38.5175720
wuf20-71\Q,wuf20-71,Q,50,2,1000,0.333,0.3,1489,1256,0.058,51,64056,0,1000000,1256000000,0,1000000,1256000000,0.6,00:04:41.2480598
wuf20-91\M,wuf20-91,M,50,2,1000,0.1,0.3,2488,2277,0.8152,2,4554,0.4,6,13662,0.48,5,11385,0.18,00:05:26.2117994
wuf20-91\M,wuf20-91,M,50,2,500,0.01,0.1,1151,1225,0.55744,4,4900,0.152,19,23275,0.204,14,17150,0.02,06:35:15.9350124
wuf20-91\M,wuf20-91,M,50,2,1000,0.333,0.3,1489,1369,0.6096,4,5476,0.26,10,13690,0.28,10,13690,0.6,00:05:02.6186462
wuf20-91\M,wuf20-91,M,50,2,1000,0.0333,0.3,3402,3217,0.8164,2,6434,0.38,7,22519,0.46,5,16085,0.18,00:15:29.1982962
wuf20-91\M,wuf20-91,M,50,2,1000,0.01,0.3,4401,4196,0.8044,2,8392,0.24,11,46156,0.42,6,25176,0.18,00:15:28.1514900
wuf20-91\M,wuf20-91,M,50,2,1000,0.01,0.1,2301,2465,0.6204,4,9860,0.14,20,49300,0.2,14,34510,0.2,00:06:27.9775887
wuf20-91\M,wuf20-91,M,50,2,1000,0.00333,0.3,5314,5191,0.8112,2,10382,0.38,7,36337,0.44,6,31146,0.18,00:10:12.3000630
wuf20-91\M,wuf20-91,M,50,2,1000,0.001,0.3,6313,6186,0.8288,2,12372,0.32,8,49488,0.46,5,30930,0.18,00:18:41.9496374
wuf20-91\M,wuf20-91,M,50,2,1000,0.333,0.9,17015,13092,0.994,1,13092,0.88,2,26184,0.94,2,26184,0.627621,00:51:47.8620575
wuf20-91\M,wuf20-91,M,50,2,1000,0.1,0.9,28433,23137,0.9972,1,23137,0.9,2,46274,0.96,1,23137,0.627621,01:07:03.9683076
wuf20-91\M,wuf20-91,M,50,2,1000,0.01,0.7,14855,12863,0.9456,2,25726,0.48,5,64315,0.76,3,38589,0.33614,00:25:07.4864860
wuf20-91\M,wuf20-91,M,50,2,1000,0.0333,0.9,38870,32575,0.998,1,32575,0.96,1,32575,0.96,1,32575,0.627621,01:28:37.0054778
wuf20-91\M,wuf20-91,M,20,0.5,500,0.01,0.95,38134,35953,0.98175,1,35953,0.74,3,107859,0.74,3,107859,,
wuf20-91\M,wuf20-91,M,50,2,1000,0.01,0.9,50288,44309,0.9972,1,44309,0.92,2,88618,0.94,2,88618,0.627621,01:03:17.1795048
wuf20-91\M,wuf20-91,M,20,2,500,0.01,0.95,51647,45254,0.99975,1,45254,0.995,1,45254,0.995,1,45254,,
wuf20-91\M,wuf20-91,M,50,2,1000,0.00333,0.9,60724,54258,0.9972,1,54258,0.92,2,108516,0.96,1,54258,0.564859,05:32:21.3621907
wuf20-91\M,wuf20-91,M,20,20,500,0.01,0.95,74093,57351,0.9992,1,57351,0.99,1,57351,0.99,1,57351,,
